evaluation_id,feasible,objective,penalty,weight_lbf,min_factor_of_safety,max_deflection_in,governing_load_case,governing_x_in,left_width_in,mid_width_in,right_width_in,left_height_in,mid_height_in,right_height_in,wall_thickness_in,left_web_opening_ratio,mid_web_opening_ratio,right_web_opening_ratio,violations,load_case_1_max_von_mises_psi,load_case_1_max_von_mises_x_in,load_case_1_min_factor_of_safety,load_case_1_min_factor_of_safety_x_in,load_case_1_max_deflection_in,load_case_1_max_deflection_x_in,load_case_1_max_slope_rad,load_case_2_max_von_mises_psi,load_case_2_max_von_mises_x_in,load_case_2_min_factor_of_safety,load_case_2_min_factor_of_safety_x_in,load_case_2_max_deflection_in,load_case_2_max_deflection_x_in,load_case_2_max_slope_rad
71,True,0.11570774862981352,0.0,0.11570774862981352,32.35554714866616,0.002175433679090921,Load Case 1,4.0,1.340078450121975,0.8072597852613084,0.975366725109474,0.9147632404595021,1.460850497563797,0.8143501333042324,0.09519319986362948,0.3185876160887294,0.18854565366580944,0.4449670936652756,,73.55771142006833,4.0,32.35554714866616,4.0,0.002175433679090921,4.12,0.0009457137606501756,53.48922099611747,2.49,44.49494600365844,2.49,0.0018789926321414298,3.86,0.0007337563917999202
72,True,0.2620950891606587,0.0,0.2620950891606587,39.62982942115651,0.0014804759371472827,Load Case 1,4.0,1.480026647253807,1.5916797751293674,0.9078440124209439,1.5333674458309194,0.9204970131004312,1.8531213739331187,0.1745157461047731,0.48721885369610746,0.12310869206200664,0.31628528457668936,,60.05577199707626,4.0,39.62982942115651,4.0,0.0014804759371472827,3.97,0.0005101420880339933,20.166672905393675,2.49,118.0164924162308,2.49,0.0004102878857679973,3.7800000000000002,0.00017139422568578295
73,True,0.14156040464671238,0.0,0.14156040464671238,20.32990353587211,0.0036065657543689184,Load Case 1,4.0,1.5765967185328793,1.0717665255116458,0.8306840904181059,1.9660134269166898,0.8945779185175768,0.9165703943608772,0.10198420999014754,0.010886361116478204,0.13642543944246424,0.6263877206109582,,117.06892734638365,4.0,20.32990353587211,4.0,0.0036065657543689184,4.34,0.001498298376131392,38.608641993767804,4.0,61.644229817360035,4.0,0.001333802847048829,4.13,0.0005456915524777554
74,True,0.2735269220471269,0.0,0.2735269220471269,59.36414020642769,0.0010232548719413407,Load Case 1,0.0,0.898651047644818,1.4318275873615094,1.280090759399263,0.8584024761633187,1.3032364269659849,2.02386154339478,0.19469558895724778,0.408603910574072,0.39424442125205406,0.11444687531680356,,40.091543341215676,0.0,59.36414020642769,0.0,0.0010232548719413407,3.5500000000000003,0.0004918433544451322,30.461450086389792,0.0,78.13153980687828,0.0,0.000537135658678368,3.17,0.00029529229878879704
75,True,0.2857481366317597,0.0,0.2857481366317597,61.62475540646049,0.0010322892035461257,Load Case 1,4.0,1.2289732919580576,0.7968007240343288,1.3006599839326636,1.761383822148566,1.6201447803931222,1.1570230863917863,0.19052388921072466,0.12541515666102349,0.03889897728191263,0.17850281141247332,,38.62084294375131,4.0,61.62475540646049,4.0,0.0008189775872603076,4.16,0.0003327771239086067,29.71515728151187,2.49,80.09380456756945,2.49,0.0010322892035461257,3.7600000000000002,0.0004021270563457854
76,True,0.26547142213899055,0.0,0.26547142213899055,60.179982228474245,0.0003957559129407188,Load Case 2,0.0,1.036721176721501,1.4066480974551827,1.422976090389555,1.4550342961050406,1.9545363284928214,1.8860240389792933,0.19820922732617555,0.6441307439969971,0.6858563391896245,0.4628628577911975,,29.257852879838417,4.0,81.34568212420187,4.0,0.0003957559129407188,3.8200000000000003,0.00016912706248812165,39.54803427764888,0.0,60.179982228474245,0.0,0.00035622620820544395,3.33,0.00018038078764721864
77,True,0.253660821399463,0.0,0.253660821399463,64.01324634747277,0.0006612508398982814,Load Case 1,0.0,0.90416587146797,1.465144080374707,0.9964242450756999,0.9575684948668174,1.773183427292556,1.3550689367205218,0.16206136022534462,0.432749858884982,0.07074552576803668,0.11111827009372494,,37.17980474042872,0.0,64.01324634747277,0.0,0.0006612508398982814,3.7800000000000002,0.0003150287072826602,33.49733013179776,0.0,71.05043866587908,0.0,0.0004860339289953019,3.29,0.00026476954009130733
78,True,0.15804800074867226,0.0,0.15804800074867226,18.02935480000911,0.0036442493624409345,Load Case 1,4.0,0.7845645961228334,1.2096333718003833,1.2449619341902785,1.565545110474709,0.7491267422136816,1.1905545350447202,0.1373869378330303,0.31326179784830654,0.5332645215184342,0.2139119017029196,,132.00694236705561,4.0,18.02935480000911,4.0,0.0036442493624409345,4.0600000000000005,0.001266418693413561,48.915152636340004,2.49,48.655679717369466,2.49,0.001179031172956325,3.48,0.0005514454231240126
79,True,0.26195393840741565,0.0,0.26195393840741565,87.12370688567349,0.0004943425132994421,Load Case 1,4.0,1.4975022891273289,1.4495206040456519,1.0314443005447291,1.6558119454590323,1.7676355814542735,2.0980944514358217,0.14784793428648108,0.39030751204551284,0.17067426236922545,0.3727989547576779,,27.31747861834107,4.0,87.12370688567349,4.0,0.0004943425132994421,3.94,0.00019039272848288329,19.936397734559893,2.49,119.37964078005187,2.49,0.00035987838149304906,3.72,0.00015446758282120683
80,True,0.15664696916457485,0.0,0.15664696916457485,48.59009207311376,0.0009247241270147895,Load Case 1,4.0,0.7779953657963234,1.1947492363436327,0.7650933610079984,2.0146520534740646,1.482435499868868,1.9031388661194026,0.12539408716445422,0.41808760211218504,0.4242703322787549,0.6803329029593946,,48.9811790522809,4.0,48.59009207311376,4.0,0.0009247241270147895,4.03,0.00034248273100864583,46.43105960741651,0.0,51.25879142374426,0.0,0.0008783601562733028,3.5500000000000003,0.0004159161420650048
