rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
894,print_safe_contiguous_closed_tube_seed2502,680,0.08592675,0.08592675,4.77059156,0.03467269,1.08856048,4.49618059,0.08131487,0.00000000,0.38608553,0.39568245,0.02217102
895,print_safe_contiguous_closed_tube_seed2502,270,0.08595966,0.08595966,4.79553445,0.03280803,1.76652400,5.69031031,0.09358386,0.00000000,0.20830971,0.45765150,0.07862285
896,print_safe_contiguous_closed_tube_seed2502,1056,0.08598846,0.08598846,2.01531218,0.13230134,0.47085209,1.94541420,0.10988226,0.00000000,0.25046967,0.72849766,0.07474256
897,print_safe_contiguous_closed_tube_seed2502,902,0.08602618,0.08602618,2.22987505,0.09161171,1.22273275,4.78025729,0.10747381,0.00000000,0.16466788,0.47207615,0.07724221
898,print_safe_contiguous_closed_tube_seed2502,958,0.08605082,0.08605082,2.47000067,0.08705504,1.10023376,3.88884085,0.10068422,0.00000000,0.27954335,0.49860344,0.06964448
899,print_safe_contiguous_closed_tube_seed2502,655,0.08606044,0.08606044,4.45016573,0.03939813,0.85908979,3.11947969,0.09825734,0.00000000,0.17717872,0.53041518,0.08616037
900,print_safe_contiguous_closed_tube_seed2502,803,0.08608027,0.08608027,2.65697068,0.07368104,1.28126441,4.88277751,0.09890847,0.00000000,0.28617039,0.45142488,0.08246268
901,print_safe_contiguous_closed_tube_seed2502,946,0.08612119,0.08612119,2.02423895,0.11055749,1.05889441,3.71228433,0.10433010,0.00000000,0.19399006,0.53344081,0.08086635
902,print_safe_contiguous_closed_tube_seed2502,44,0.08613453,0.08613453,4.45277007,0.03018315,1.37945974,4.95331849,0.10096348,0.00000000,0.16349606,0.51533146,0.08287300
903,print_safe_contiguous_closed_tube_seed2502,1449,0.08618456,0.08618456,2.98916851,0.06780757,1.08914621,3.80524888,0.09269192,0.00000000,0.30981262,0.46729497,0.04309336
904,print_safe_contiguous_closed_tube_seed2502,719,0.08625273,0.08625273,6.43187687,0.02114597,1.26773840,4.42652689,0.08042400,0.00000000,0.31214656,0.36001141,0.05728922
905,print_safe_contiguous_closed_tube_seed2502,486,0.08628549,0.08628549,2.65723784,0.07902924,0.80203900,2.87463278,0.10445031,0.00000000,0.25111792,0.61404705,0.06522165
906,print_safe_contiguous_closed_tube_seed2502,290,0.08633451,0.08633451,5.84513251,0.02449668,1.56706898,5.00997369,0.08717179,0.00000000,0.22376520,0.39837819,0.09282885
907,print_safe_contiguous_closed_tube_seed2502,801,0.08639004,0.08639004,3.28227193,0.05542293,1.40452382,5.47846570,0.09409993,0.00000000,0.21315030,0.48597671,0.08619457
908,print_safe_contiguous_closed_tube_seed2502,942,0.08645291,0.08645291,1.67118017,0.14748996,1.00609807,4.14109202,0.09591129,0.00000000,0.36043815,0.49902410,0.06221424
909,print_safe_contiguous_closed_tube_seed2502,7,0.08651036,0.08651036,3.98434296,0.04731415,1.25510674,5.25136234,0.10971891,0.00000000,0.16055811,0.51610344,0.06399034
910,print_safe_contiguous_closed_tube_seed2502,154,0.08651807,0.08651807,2.97469441,0.06909198,1.15944126,4.48131846,0.08730161,0.00000000,0.22028437,0.46360561,0.10666418
911,print_safe_contiguous_closed_tube_seed2502,465,0.08652731,0.08652731,5.95315281,0.02110179,1.38668963,5.63135780,0.09097743,0.00000000,0.18589238,0.42356125,0.04870712
912,print_safe_contiguous_closed_tube_seed2502,1130,0.08668430,0.08668430,3.84182978,0.04083454,1.61402471,6.26826251,0.09181171,0.00000000,0.29965683,0.42874393,0.04953783
913,continuous_uniform_both_load_cases_9in_corrected,367,0.08676487,0.08676487,2.00301903,0.12872720,0.47067996,1.84777080,0.10033571,0.00000000,0.28676995,0.71325641,0.09164027
914,print_safe_contiguous_closed_tube_seed2502,238,0.08689102,0.08689102,5.06663203,0.03672764,0.77538996,3.71441252,0.09010518,0.00000000,0.30035153,0.46768122,0.05846159
915,print_safe_contiguous_closed_tube_seed2502,1414,0.08695477,0.08695477,1.79510783,0.14620869,0.80293030,3.03222438,0.09562521,0.00000000,0.26245174,0.54928755,0.07335174
916,print_safe_contiguous_closed_tube_seed2502,856,0.08696681,0.08696681,3.44785552,0.06185750,1.01870722,4.34098527,0.10560635,0.00000000,0.27056601,0.53998088,0.04146230
917,print_safe_contiguous_closed_tube_seed2502,293,0.08696766,0.08696766,3.63327956,0.05509110,1.12508922,4.25366911,0.08269591,0.00000000,0.37986153,0.41196912,0.04767406
918,continuous_uniform_both_load_cases_9in_corrected,485,0.08708473,0.08708473,3.85063557,0.04568608,1.00659335,3.84892593,0.06130654,0.00000000,0.40148431,0.34824115,0.23896231
919,print_safe_contiguous_closed_tube_seed2502,717,0.08710550,0.08710550,3.30321887,0.06586716,1.38555631,5.65449232,0.10567178,0.00000000,0.21741779,0.48410019,0.06885027
920,print_safe_contiguous_closed_tube_seed2502,331,0.08713627,0.08713627,6.31159538,0.02167187,1.26347476,5.22741943,0.07439452,0.00000000,0.33319644,0.34423680,0.05100166
921,print_safe_contiguous_closed_tube_seed2502,987,0.08723318,0.08723318,5.72493876,0.02899511,0.84499928,3.67635279,0.08180764,0.00000000,0.28295904,0.39903317,0.07979986
922,print_safe_contiguous_closed_tube_seed2502,25,0.08731297,0.08731297,2.16751939,0.10869764,0.86045104,3.23526832,0.10153577,0.00000000,0.32605993,0.54330829,0.04754133
923,print_safe_contiguous_closed_tube_seed2502,303,0.08745308,0.08745308,5.02534966,0.03028149,1.28083013,5.63093324,0.10400936,0.00000000,0.20635671,0.50246675,0.04600229
924,print_safe_contiguous_closed_tube_seed2502,363,0.08750991,0.08750991,5.62120259,0.02504941,1.03510076,4.43857928,0.10453810,0.00000000,0.20958864,0.53942036,0.07987042
925,print_safe_contiguous_closed_tube_seed2502,123,0.08751039,0.08751039,5.45902826,0.02763011,1.14670637,4.80421543,0.09288567,0.00000000,0.20745866,0.46944654,0.06696139
926,print_safe_contiguous_closed_tube_seed2502,500,0.08754817,0.08754817,6.43957889,0.02089710,1.20711492,4.74302709,0.07419809,0.00000000,0.39847144,0.34188263,0.05487058
927,print_safe_contiguous_closed_tube_seed2502,235,0.08763251,0.08763251,7.08857495,0.01826819,1.35665244,4.26778237,0.09141603,0.00000000,0.20189669,0.40087083,0.08127712
