rank,source_run,source_evaluation_id,rank_score,weight_lbf,min_fos,max_deflection_in,fos_3to7_std,fos_3to7_range,wall_thickness_in,max_web_opening_ratio,min_print_web_ligament_in,min_shell_area_ratio,max_dim_slope_in_per_in
49,print_safe_contiguous_closed_tube_seed2502,926,0.05068446,0.05068446,3.05564526,0.05503832,0.57567609,2.06194948,0.06282439,0.00000000,0.19013186,0.37448268,0.03814415
50,print_safe_contiguous_closed_tube_seed2502,1061,0.05072166,0.05072166,2.59584384,0.06269949,0.63395755,2.35251556,0.07113606,0.00000000,0.17939996,0.47396731,0.02200084
51,print_safe_contiguous_closed_tube_seed2502,766,0.05073034,0.05073034,2.25570440,0.10292218,0.61930149,2.49355697,0.06047500,0.00000000,0.20089827,0.38645561,0.09274121
52,print_safe_contiguous_closed_tube_seed2502,1558,0.05091146,0.05091146,2.56562543,0.08425104,0.44768282,1.46744370,0.06666778,0.00000000,0.19172086,0.41357045,0.05144781
53,print_safe_contiguous_closed_tube_seed2502,1177,0.05092478,0.05092478,1.66165371,0.13910783,0.59859410,2.36690446,0.06803044,0.00000000,0.20190584,0.44942903,0.04132155
54,print_safe_contiguous_closed_tube_seed2502,999,0.05097261,0.05097261,2.23051797,0.08595739,0.57033091,2.17873971,0.07422253,0.00000000,0.19522896,0.49750903,0.03339893
55,print_safe_contiguous_closed_tube_seed2502,817,0.05119555,0.05119555,2.41936421,0.06574213,1.04368026,3.85955893,0.06747842,0.00000000,0.17659954,0.38166215,0.04652077
56,print_safe_contiguous_closed_tube_seed2502,223,0.05125117,0.05125117,3.22208856,0.04438054,0.80374879,3.30441410,0.06091702,0.00000000,0.20461414,0.34742033,0.03120945
57,print_safe_contiguous_closed_tube_seed2502,1539,0.05142095,0.05142095,1.50164135,0.14283918,0.74078288,2.70167465,0.07380373,0.00000000,0.16619627,0.39342864,0.06170443
58,print_safe_contiguous_closed_tube_seed2502,1535,0.05145293,0.05145293,1.87469275,0.09156790,0.98805241,3.68322970,0.06419332,0.00000000,0.17580668,0.33483523,0.07156955
59,print_safe_contiguous_closed_tube_seed2502,1546,0.05172451,0.05172451,1.68328323,0.14358773,0.59167742,2.34403254,0.06298655,0.00000000,0.18015397,0.42914860,0.06847673
60,print_safe_contiguous_closed_tube_seed2502,613,0.05173178,0.05173178,3.40125197,0.04739679,0.62083950,2.80248421,0.06293287,0.00000000,0.23921283,0.37339076,0.07820643
61,print_safe_contiguous_closed_tube_seed2502,1517,0.05175114,0.05175114,1.95857337,0.09977149,0.81197790,2.75894283,0.06461088,0.00000000,0.22947158,0.35184314,0.05702166
62,print_safe_contiguous_closed_tube_seed2502,1529,0.05180256,0.05180256,1.99243295,0.09800475,0.74454553,2.69662025,0.06862655,0.00000000,0.17137345,0.39197470,0.04409578
63,print_safe_contiguous_closed_tube_seed2502,1163,0.05181138,0.05181138,2.53900865,0.07378968,0.72686485,2.75460020,0.06000000,0.00000000,0.23333924,0.37283083,0.04801812
64,print_safe_contiguous_closed_tube_seed2502,755,0.05181195,0.05181195,2.56856269,0.06208317,0.77037257,2.87050670,0.06247107,0.00000000,0.18049286,0.37385471,0.11715934
65,print_safe_contiguous_closed_tube_seed2502,1567,0.05188269,0.05188269,2.10100683,0.10699311,0.45607254,1.71373802,0.06694557,0.00000000,0.25461089,0.46344096,0.02886229
66,print_safe_contiguous_closed_tube_seed2502,875,0.05196932,0.05196932,1.64580820,0.13619854,0.67441740,2.46868507,0.06428504,0.00000000,0.23373738,0.36793936,0.09757105
67,print_safe_contiguous_closed_tube_seed2502,1332,0.05201056,0.05201056,1.92680481,0.11419444,0.66275705,2.74201800,0.07705424,0.00000000,0.16294576,0.46889376,0.06165745
